Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
Jul_13,1,"(2, 3)",0.022603081260817125,0.002005115576239558,0.10024467286428979,0.054179175007448066,0.03091005000169389,0.10548311527266287
Jul_13,1,"(2, 4)",0.027692079937938874,-0.12025430683972815,0.21109238962910307,0.0782994333615837,-0.07907249999698251,0.2346438170469686
Jul_13,1,"(3, 1)",-0.07439363674710188,-0.06926561111759766,0.04072676430272564,-0.04330566669038186,-0.016949200013186783,0.037945414527768104
Jul_13,1,"(3, 2)",-0.10358894671323345,-0.06509550475565712,0.09543968865011108,-0.06909617692088851,-0.03188540006522089,0.09656127136908538
Jul_13,1,"(3, 3)",-0.09026766634748053,-0.11072124043105337,0.13196328757392756,-0.024188226670958102,-0.041983500006608665,0.08653601732990371
Jul_13,1,"(3, 4)",-0.05128295492592161,-0.05169152508679303,0.053995488411422196,-0.013852885733025946,-0.01803420000942424,0.06269156263639995
Jul_13,1,"(4, 1)",-0.06925842536621318,-0.06925842536621318,0.0159379065281402,-0.0004259999841451645,-0.0004259999841451645,0.025481500022578984
Jul_13,1,"(4, 2)",-0.10423624502025652,-0.06486662247030583,0.10977735600050952,-0.05652074998943135,-0.05652074998943135,0.12770715000806376
Jul_13,1,"(4, 3)",0.008250007616575716,-0.019093052162819812,0.13866857531800889,0.05344034287346793,0.04210880002938211,0.13408061133386948
Jul_13,1,"(4, 4)",0.050317329063550104,0.050317329063550104,0.04204086772461815,0.12705559999449179,0.12705559999449179,0.0300354000646621
Jul_13,2,"(1, 1)",,,,,,
Jul_13,2,"(1, 2)",-0.09538007292886909,-0.10176407768229984,0.08148316942518168,,,
Jul_13,2,"(1, 3)",-0.04198926997477051,-0.028040003677212932,0.08443997255526983,,,
Jul_13,2,"(1, 4)",,,,,,
Jul_13,2,"(2, 1)",,,,,,
Jul_13,2,"(2, 2)",-0.021978641954531232,-0.008841341226971833,0.06413722203675187,0.009352299999186976,0.04083009995520115,0.06457779758291236
Jul_13,2,"(2, 3)",-0.003899346229426213,0.0022130972928045,0.0657264591332583,0.04945148333111623,0.041090950020588934,0.0612764494477738
Jul_13,2,"(2, 4)",,,,,,
Jul_13,2,"(3, 1)",,,,,,
Jul_13,2,"(3, 2)",-0.07176822323099089,-0.10182990055061686,0.08793097657872426,-0.01616165998275392,-0.03568044997518882,0.07524364963794247
Jul_13,2,"(3, 3)",-0.006026767920410012,-0.0117645235163516,0.04694429958852139,0.04045017271577804,0.021927299967501312,0.044819271853475166
Jul_13,2,"(3, 4)",,,,,,
Jul_13,2,"(4, 1)",,,,,,
Jul_13,2,"(4, 2)",-0.05365183016302174,-0.04590025843540152,0.07241470129125321,,,
Jul_13,2,"(4, 3)",-0.056879962508311184,-0.059563541688244015,0.07326245134265451,,,
Jul_13,2,"(4, 4)",,,,,,
X91583,1,"(1, 1)",-0.10459066876126573,-0.08469665218545552,0.11928393314115442,-0.026138566654279,-0.0049082000041380525,0.11757084456613684
X91583,1,"(1, 2)",0.004727984437494471,0.012413981688724679,0.12317099349507397,0.09066940002542521,0.0959500499884598,0.0642256347223035
X91583,1,"(1, 3)",0.041867535329446474,0.09751656189601082,0.19375401285687008,0.1321404888941389,0.19004649994894862,0.1874000409138802
X91583,1,"(1, 4)",-0.02938393534152709,-0.045248942313137586,0.13490903198081913,0.02703791578594399,0.021027700044214725,0.0778257433098603
